transaction_id,account_id,transaction_amount,transaction_date,transaction_type,location,customer_age,fraud_flag
1,4174,2762.42,2023-01-01,Credit,Germany,60,0
2,4507,832.52,2023-01-02,Transfer,India,69,0
3,1860,2062.16,2023-01-03,Transfer,UK,52,0
4,2294,3890.24,2023-01-04,Transfer,UK,57,0
5,2130,2407.05,2023-01-05,Transfer,UK,31,1
6,2095,4926.58,2023-01-06,Credit,Germany,75,0
7,4772,1889.93,2023-01-07,Transfer,USA,50,0
8,4092,3750.4,2023-01-08,Credit,USA,31,0
9,2638,1971.02,2023-01-09,Transfer,Canada,51,0
10,3169,4147.53,2023-01-10,Transfer,USA,78,0
11,1466,2849.72,2023-01-11,Transfer,UK,72,0
12,2238,326.92,2023-01-12,Credit,UK,21,0
13,1330,193.74,2023-01-13,Credit,UK,41,0
14,2482,677.92,2023-01-14,Debit,Canada,76,0
15,3135,78.22,2023-01-15,Transfer,UK,46,0
16,4444,386.04,2023-01-16,Debit,USA,36,0
17,4171,3461.65,2023-01-17,Debit,Germany,23,0
18,3919,2676.39,2023-01-18,Credit,Germany,74,0
19,4735,3752.05,2023-01-19,Credit,India,50,0
20,1130,4566.7,2023-01-20,Debit,USA,66,0
21,2685,2929.9,2023-01-21,Transfer,UK,57,0
22,4380,3633.34,2023-01-22,Credit,Germany,36,0
23,1769,3787.84,2023-01-23,Transfer,USA,70,0
24,3391,1895.47,2023-01-24,Transfer,Germany,18,0
25,2515,1213.01,2023-01-25,Debit,UK,22,0
26,4485,1033.18,2023-01-26,Debit,Germany,44,0
27,3853,1264.7,2023-01-27,Debit,India,33,0
28,3433,1380.91,2023-01-28,Debit,India,23,0
29,2215,1044.07,2023-01-29,Credit,Germany,57,0
30,1955,4392.32,2023-01-30,Credit,USA,30,0
31,3324,3787.43,2023-01-31,Debit,USA,65,0
32,2184,244.01,2023-02-01,Credit,USA,79,0
33,1459,1350.68,2023-02-02,Debit,Germany,52,0
34,4385,120.7,2023-02-03,Transfer,USA,36,0
35,1021,2495.84,2023-02-04,Transfer,UK,29,1
36,3300,2386.29,2023-02-05,Transfer,India,33,0
37,1747,4158.54,2023-02-06,Debit,UK,76,0
38,3904,1545.81,2023-02-07,Transfer,USA,60,0
39,4632,4083.76,2023-02-08,Credit,UK,27,0
40,1474,4840.19,2023-02-09,Transfer,USA,42,0
41,2082,451.16,2023-02-10,Transfer,Germany,37,0
42,3558,3961.17,2023-02-11,Transfer,UK,48,0
43,4753,2953.88,2023-02-12,Credit,Germany,21,0
44,3047,2405.43,2023-02-13,Debit,Germany,61,0
45,4547,2108.47,2023-02-14,Credit,Canada,40,0
46,3747,3925.49,2023-02-15,Debit,USA,19,0
47,1975,3200.41,2023-02-16,Debit,India,73,0
48,2806,4027.17,2023-02-17,Transfer,USA,39,1
49,1189,4516.72,2023-02-18,Debit,India,68,0
50,4005,3090.15,2023-02-19,Credit,USA,74,0
51,3734,4902.51,2023-02-20,Credit,Germany,54,0
52,4005,3044.36,2023-02-21,Debit,UK,25,0
53,1562,3186.86,2023-02-22,Transfer,UK,24,1
54,2899,2778.53,2023-02-23,Transfer,Canada,31,0
55,4638,464.1,2023-02-24,Credit,India,73,0
56,2267,3634.72,2023-02-25,Transfer,India,72,0
57,3879,2741.76,2023-02-26,Debit,India,20,0
58,2528,2260.04,2023-02-27,Debit,Germany,67,0
59,4202,4553.25,2023-02-28,Credit,India,33,0
60,4556,1496.82,2023-03-01,Debit,UK,72,0
61,4890,2622.78,2023-03-02,Credit,Germany,36,0
62,1646,3491.23,2023-03-03,Debit,USA,68,0
63,3068,3984.39,2023-03-04,Credit,India,35,0
64,3888,2302.14,2023-03-05,Transfer,India,69,0
65,3214,4212.04,2023-03-06,Debit,USA,33,0
66,2297,3846.9,2023-03-07,Debit,India,25,0
67,3435,340.52,2023-03-08,Credit,USA,77,0
68,1600,238.85,2023-03-09,Credit,Germany,50,1
69,3363,3107.82,2023-03-10,Debit,UK,66,0
70,3061,1743.59,2023-03-11,Credit,USA,29,0
71,1241,1053.56,2023-03-12,Debit,Canada,79,0
72,3041,2902.45,2023-03-13,Transfer,USA,70,0
73,3824,1714.4,2023-03-14,Credit,India,28,0
74,4417,2690.94,2023-03-15,Debit,Germany,22,0
75,3612,2305.99,2023-03-16,Transfer,Germany,44,0
76,3945,2927.98,2023-03-17,Transfer,USA,29,1
77,2363,2007.5,2023-03-18,Debit,UK,34,0
78,3139,3491.36,2023-03-19,Credit,Canada,23,0
79,2390,908.54,2023-03-20,Debit,Germany,50,0
80,4003,3485.54,2023-03-21,Transfer,India,22,0
81,2478,2064.19,2023-03-22,Debit,India,74,0
82,4499,4372.84,2023-03-23,Credit,UK,45,0
83,3556,2581.03,2023-03-24,Transfer,Germany,31,0
84,1775,4865.82,2023-03-25,Debit,USA,22,0
85,1034,3013.66,2023-03-26,Credit,India,71,0
86,3253,1127.01,2023-03-27,Transfer,UK,73,0
